s,x,y,psi,kappa,vx,ax
3.397869850052032348e+01,1.394008712032271546e+02,3.355055384642127478e+02,-1.952447372527082559e+00,3.183188146050206207e-03,3.603895442633021418e+01,4.245370230002346368e+00
3.597744547113916269e+01,1.412573376798453637e+02,3.347673487107116443e+02,-1.946063268120232115e+00,3.207543068766183485e-03,3.627364164122278112e+01,4.143622277497814643e+00
3.797619244175800901e+01,1.431201718435567898e+02,3.340404235542082461e+02,-1.939625203356459826e+00,3.228682629129567966e-03,3.650124905896956307e+01,4.046712750643990830e+00
3.997493941237684822e+01,1.449871178001289422e+02,3.333257418522051125e+02,-1.933160757400971486e+00,3.238798279439843424e-03,3.672217167553622374e+01,3.963173599581997664e+00
4.197368638299569454e+01,1.468574327752255329e+02,3.326236328324350211e+02,-1.926650397735239162e+00,3.286520120830765772e-03,3.693725294360636724e+01,3.839699829032459544e+00
4.397243335361453376e+01,1.487343014470020819e+02,3.319330915107683495e+02,-1.920044815927214765e+00,3.263618693065784698e-03,3.714444550431041137e+01,3.795957071479423739e+00
4.597118032423338008e+01,1.506149749078885804e+02,3.312549987977904493e+02,-1.913709130473901121e+00,3.078845229773290431e-03,3.734814784185586944e+01,3.935487661728600539e+00
4.796992729485221929e+01,1.524996401877434096e+02,3.305883660696678703e+02,-1.908045082116006874e+00,2.518000627052903364e-03,3.755817135192685186e+01,4.362547717744378772e+00
4.996867426547106561e+01,1.543874167809429423e+02,3.299313076315702347e+02,-1.903643209823253191e+00,1.907705513184428971e-03,3.778962150340675663e+01,4.328503166302567706e+00
5.196742123608990482e+01,1.562775308365139608e+02,3.292815249840133447e+02,-1.900376920423734850e+00,1.360227419415438888e-03,3.801787288306205426e+01,4.294863550098350302e+00
5.396616820670875114e+01,1.581694034568133702e+02,3.286368722468773740e+02,-1.898225530265241989e+00,7.887587335320799930e-04,3.824300392977290386e+01,1.451628825482543572e+00
5.596491517732759036e+01,1.600623749374221347e+02,3.279951743879259993e+02,-1.897223516923414177e+00,2.155318058656127190e-04,3.831879730637977843e+01,-8.703201087207181885e+00
5.796366214794643668e+01,1.619555932901498352e+02,3.273543035980834475e+02,-1.897360587442656232e+00,-3.526532143607389301e-04,3.786210814775022726e+01,-8.091730783111751535e+00
5.996240911856527589e+01,1.638483087587747775e+02,3.267121147926914659e+02,-1.898634799679333574e+00,-9.226883126338672123e-04,3.743250711096330718e+01,-7.504927007614276668e+00
6.196115608918412221e+01,1.657398861270177122e+02,3.260664198153336315e+02,-1.901048725262553862e+00,-1.492588008626402098e-03,3.702960556595154173e+01,-6.940830750841135988e+00
6.395990305980296142e+01,1.676295531140841319e+02,3.254150764808757685e+02,-1.904600780588908915e+00,-2.061471438306194774e-03,3.665304570559322173e+01,-6.396363263861633008e+00
6.595865003042180774e+01,1.695163824977670686e+02,3.247560011744135977e+02,-1.909288758330482061e+00,-2.629552648966641121e-03,3.630256652225932612e+01,-5.869642317780934704e+00
6.795739700104064696e+01,1.713998257618732737e+02,3.240869822423169353e+02,-1.915110955660479286e+00,-3.196024784877016679e-03,3.597794430620657380e+01,-5.358839765489512352e+00
6.995614397165948617e+01,1.732790310216719831e+02,3.234059192916882921e+02,-1.922063461427409692e+00,-3.760071204109995645e-03,3.567899307724216129e+01,-4.862410868162855948e+00
7.195489094227832538e+01,1.751527424095695267e+02,3.227108743329561662e+02,-1.930138687732170233e+00,-4.320641023755724883e-03,3.540555166948546173e+01,-4.379047532011815846e+00
