x_m,y_m,w_tr_right_m,w_tr_left_m
-1.182376696238239333e+02,-1.363849543016013932e+01,6.785256950606797233e+00,6.785256950606797233e+00
-1.281563337267321572e+02,-1.507313329480351527e+01,6.783845961977355898e+00,6.783845961977354122e+00
-1.380741326491079235e+02,-1.651392207785034216e+01,6.864056847389329086e+00,6.864056847389331750e+00
-1.479895678849398735e+02,-1.797159256541737449e+01,6.902137661654310641e+00,6.902137661654310641e+00
-1.579121241526253243e+02,-1.937583076661302073e+01,6.985063471052452400e+00,6.985063471052452400e+00
-1.678690687988300851e+02,-2.050250015504379419e+01,7.145338537262506229e+00,7.145338537262506229e+00
-1.777795604804660456e+02,-2.198580859778122232e+01,7.315933735484292377e+00,7.315933735484294154e+00
-1.877048627761922148e+02,-2.336807398423616178e+01,7.479364909421827079e+00,7.479364909421823526e+00
-1.975780383749653879e+02,-2.503768792316899550e+01,7.282170629689387553e+00,7.282170629689380448e+00
-2.075019686879766141e+02,-2.643035806473826099e+01,7.375592471890247914e+00,7.375592471890252355e+00
-2.174221563571230149e+02,-2.784829773926394125e+01,7.381385624308574478e+00,7.381385624308574478e+00
-2.273671919749996846e+02,-2.908096484637552237e+01,7.448452290331857739e+00,7.448452290331861292e+00
-2.372683164137822018e+02,-3.056187690704841486e+01,7.225618115338187764e+00,7.225618115338187764e+00
-2.472179212633581642e+02,-3.171029492895054602e+01,7.357278377309723005e+00,7.357278377309711459e+00
-2.559265037054803997e+02,-3.577408179911483188e+01,9.258374752290817966e+00,9.258374752290817966e+00
-2.609923700772960729e+02,-4.312037191757291765e+01,1.186150236473980080e+01,1.186150236473978659e+01
-2.657370892116720711e+02,-5.162465588823286566e+01,1.314220333013196118e+01,1.314220333013196118e+01
-2.699278115706498511e+02,-6.070653350349110156e+01,1.296400568375964646e+01,1.296400568375965179e+01
-2.736550397649875777e+02,-6.999984607562871020e+01,1.287107805893463208e+01,1.287107805893462853e+01
-2.774881672949246649e+02,-7.922945325351980728e+01,1.260540578323491268e+01,1.260540578323491800e+01
-2.809982781009096016e+02,-8.860828623523758552e+01,1.258377269227805506e+01,1.258377269227806217e+01
-2.842192145815831736e+02,-9.809816398135971838e+01,1.274510507148544924e+01,1.274510507148544214e+01
-2.874188448140365608e+02,-1.075956502715060736e+02,1.291390563742262643e+01,1.291390563742263176e+01
-2.906165277301801666e+02,-1.170933982990613060e+02,1.310135334816490271e+01,1.310135334816490271e+01
-2.937100942530310022e+02,-1.266246551043315378e+02,1.329929690805171738e+01,1.329929690805169606e+01
-2.971583018914093373e+02,-1.360250661511165902e+02,1.334874949660349053e+01,1.334874949660349763e+01
-3.020437785427373001e+02,-1.444540714848965308e+02,1.232269568589455666e+01,1.232269568589455666e+01
-3.077775625446656704e+02,-1.518245655781040568e+02,1.075805876663727467e+01,1.075805876663724803e+01
-3.157877737069824775e+02,-1.562089870770256539e+02,9.068483872395196599e+00,9.068483872395173506e+00
-3.256767556970235091e+02,-1.577610065171996894e+02,8.885473230294637759e+00,8.885473230294660851e+00
-3.356326722669651872e+02,-1.589058740001003684e+02,9.056053694034204682e+00,9.056053694034225998e+00
-3.455887636622950367e+02,-1.600434614797638915e+02,9.270157868142755220e+00,9.270157868142696600e+00
-3.555435369836644099e+02,-1.611486865499568069e+02,9.317467250105627485e+00,9.317467250105627485e+00
-3.652649439990661335e+02,-1.603796232000863426e+02,7.804198633041496080e+00,7.804198633041496080e+00
-3.715817302829588016e+02,-1.543721831229372299e+02,7.320039493042601819e+00,7.320039493042553858e+00
-3.712922415795624147e+02,-1.447105426430932198e+02,9.257954124594146350e+00,9.257954124594185430e+00
-3.683973161224365640e+02,-1.351242899080592679e+02,9.213958477853866569e+00,9.213958477853802620e+00
-3.652612470481332139e+02,-1.256090737327781994e+02,9.027810476813890261e+00,9.027810476813941776e+00
-3.622443869222354351e+02,-1.160539778853103883e+02,9.016790207236949684e+00,9.016790207236896393e+00
-3.591123542298045095e+02,-1.065347549690379196e+02,8.822224905285997565e+00,8.822224905286043750e+00
-3.559766285318877408e+02,-9.701589939745167612e+01,8.700616094147665791e+00,8.700616094147711976e+00
-3.528166382824866787e+02,-8.750526603077560139e+01,8.544033609377830629e+00,8.544033609377830629e+00
-3.496732347943558921e+02,-7.798920441917499602e+01,8.381323977075389564e+00,8.381323977075384235e+00
-3.465269903509260985e+02,-6.847409966751905586e+01,8.219248618501733716e+00,8.219248618501792336e+00
-3.433263660610317629e+02,-5.897781835958119245e+01,8.009071060811937315e+00,8.009071060811885800e+00
-3.401014603942527401e+02,-4.948919919968837888e+01,7.842837490078832019e+00,7.842837490078832019e+00
-3.370483681832744196e+02,-3.994619046012493868e+01,7.888364866441689216e+00,7.888364866441685663e+00
-3.337386785733656325e+02,-3.048716854305906310e+01,7.724858732496091562e+00,7.724858732496036495e+00
-3.306107610795711480e+02,-2.096648487913363823e+01,7.731814773385400130e+00,7.731814773385455197e+00
-3.273810851645766888e+02,-1.147954428792909987e+01,7.613493393736746384e+00,7.613493393736746384e+00
-3.240593020435184712e+02,-2.024404956028270863e+00,7.475619717791728291e+00,7.475619717791728291e+00
-3.208355075618671890e+02,7.464995683556274741e+00,7.404226183560102648e+00,7.404226183560047581e+00
-3.176014429107008823e+02,1.695087442840188885e+01,7.343141938393008772e+00,7.343141938393008772e+00
-3.143874108785323642e+02,2.644350772619127099e+01,7.276304645715799602e+00,7.276304645715743646e+00
-3.111654233733649448e+02,3.593349103449011750e+01,7.193919931566373549e+00,7.193919931566375325e+00
-3.079990997506351960e+02,4.544221806326955004e+01,7.104419241523028283e+00,7.104419241522973216e+00
-3.048245228815029009e+02,5.494821183189574754e+01,7.044012924948336973e+00,7.044012924948337862e+00
-3.016122981681720034e+02,6.444156232399582507e+01,6.973101613554918643e+00,6.973101613554918643e+00
-2.984016514484269464e+02,7.393538539711278190e+01,6.876687594574730333e+00,6.876687594574731222e+00
-2.952274158650235449e+02,8.344142076471521818e+01,6.784312653407501337e+00,6.784312653407557292e+00
-2.922006930053678389e+02,9.299525190472027703e+01,6.688976049365760623e+00,6.688976049365817467e+00
-2.892327778507764720e+02,1.025677027187437886e+02,6.609744865060788399e+00,6.609744865060788399e+00
-2.864373467533151256e+02,1.121919120517774786e+02,6.538846865464557290e+00,6.538846865464557290e+00
-2.836958242702673942e+02,1.218313532923867513e+02,6.432202863646639734e+00,6.432202863646639734e+00
-2.810846715765166550e+02,1.315072284569632757e+02,6.405452580114357808e+00,6.405452580114358696e+00
-2.785769122230957464e+02,1.412099768480043736e+02,6.323931324390985154e+00,6.323931324390928310e+00
-2.761264838068274230e+02,1.509278306720539149e+02,6.319451411306479471e+00,6.319451411306538979e+00
-2.736445029327084058e+02,1.606377154892250019e+02,6.300742750310226015e+00,6.300742750310282858e+00
-2.710831934585859813e+02,1.703267037253299918e+02,6.276474750275654380e+00,6.276474750275649939e+00
-2.684085428633306947e+02,1.799847290978171372e+02,6.335473763283876458e+00,6.335473763283876458e+00
-2.656371869691174084e+02,1.896155354846563341e+02,6.358953538053341070e+00,6.358953538053334853e+00
-2.627341453151462929e+02,1.992078778224260986e+02,6.372210060007081900e+00,6.372210060007026833e+00
-2.597997712842138753e+02,2.087906580842025619e+02,6.355691313452233260e+00,6.355691313452178193e+00
-2.568109868670243259e+02,2.183564579787445155e+02,6.282255192129590604e+00,6.282255192129555965e+00
-2.537403208939175272e+02,2.278964261769680206e+02,6.268693271433734893e+00,6.268693271433726899e+00
