x_m,y_m,w_tr_right_m,w_tr_left_m
2.547690001385354890e+02,2.411739511119954500e+02,6.707485686171473560e+00,6.707485686171498429e+00
2.552161584486899812e+02,2.393491903752279768e+02,6.754179593887407407e+00,6.754179593887410959e+00
2.556620149497772445e+02,2.375241036341913627e+02,6.800551052565607435e+00,6.800551052565638521e+00
2.561035566662592373e+02,2.356978949648319599e+02,6.843374734926615410e+00,6.843374734926674918e+00
2.565380911634023278e+02,2.338698922950335373e+02,6.879736563638583213e+00,6.879736563638608082e+00
2.569666978570869560e+02,2.320404082224216040e+02,6.910369620821832370e+00,6.910369620821807501e+00
2.573926568328856206e+02,2.302102716248928971e+02,6.938124862524898795e+00,6.938124862524898795e+00
2.578192061590735875e+02,2.283802709491478993e+02,6.965808595993509655e+00,6.965808595993509655e+00
2.582476030409023906e+02,2.265507093813458823e+02,6.994290061817205029e+00,6.994290061817173942e+00
2.586777144551284664e+02,2.247215486927998143e+02,7.022731120653572745e+00,7.022731120653516790e+00
2.591095613393848680e+02,2.228927842446801151e+02,7.050046005804985860e+00,7.050046005804985860e+00
2.595432014226033743e+02,2.210644224684063488e+02,7.075132974604244396e+00,7.075132974604304792e+00
2.599787017158445792e+02,2.192364780911649120e+02,7.097073183068181024e+00,7.097073183068209445e+00
2.604158577143059574e+02,2.174089111848562652e+02,7.116013967186102462e+00,7.116013967186102462e+00
2.608540565287281652e+02,2.155815845115355955e+02,7.132677972410621514e+00,7.132677972410561118e+00
2.612926708728327867e+02,2.137543530575952104e+02,7.147796083797577360e+00,7.147796083797605782e+00
2.617311620434347788e+02,2.119270901997952592e+02,7.162020716568380685e+00,7.162020716568323841e+00
2.621694028055512717e+02,2.100997663161441835e+02,7.175600774623195122e+00,7.175600774623195122e+00
2.626074239274074102e+02,2.082723892307699032e+02,7.188636440896540414e+00,7.188636440896568836e+00
2.630452581641853271e+02,2.064449671113700333e+02,7.201228782298807474e+00,7.201228782298803033e+00
2.634829341795046389e+02,2.046175070312863511e+02,7.213476959551026191e+00,7.213476959551054613e+00
2.639204842585634196e+02,2.027900168388494251e+02,7.225479983679043983e+00,7.225479983679099938e+00
2.643579390814441012e+02,2.009625039242554294e+02,7.237337178526227710e+00,7.237337178526177084e+00
2.647953187933226218e+02,1.991349731091037825e+02,7.249136266427918862e+00,7.249136266427913533e+00
2.652324415206481945e+02,1.973073809801677498e+02,7.260774692927361329e+00,7.260774692927417284e+00
2.656689655403189931e+02,1.954796462814704228e+02,7.271942724639854916e+00,7.271942724639849587e+00
2.661046719205144200e+02,1.936517179712333814e+02,7.282188195202500935e+00,7.282188195202439651e+00
2.665393963943243989e+02,1.918235592851565343e+02,7.291039950405195036e+00,7.291039950405256320e+00
2.669735983486764326e+02,1.899952807781078832e+02,7.298615340909530680e+00,7.298615340909474725e+00
2.674090469728331527e+02,1.881672992449310584e+02,7.306243985193461299e+00,7.306243985193516366e+00
2.678476517720699803e+02,1.863400684227805755e+02,7.315392134095697330e+00,7.315392134095702659e+00
2.682913252566224855e+02,1.845140570982966324e+02,7.327502268200558611e+00,7.327502268200614566e+00
2.687418919227478682e+02,1.826897368664479018e+02,7.343930436925256267e+00,7.343930436925206529e+00
2.691981621512023821e+02,1.808668418296891787e+02,7.363613776388608478e+00,7.363613776388658216e+00
2.696546401668479120e+02,1.790439953503957895e+02,7.382355133724512797e+00,7.382355133724519014e+00
2.701054212086726807e+02,1.772197274176745623e+02,7.395739097391567540e+00,7.395739097391560435e+00
2.705454603138099401e+02,1.753928721586078723e+02,7.400142017188810151e+00,7.400142017188865218e+00
2.709755951027105993e+02,1.735637205290819338e+02,7.397370512021958611e+00,7.397370512022013678e+00
2.713993207266678951e+02,1.717331089259561736e+02,7.391662276029594913e+00,7.391662276029587808e+00
2.718201285033222803e+02,1.699018085763921704e+02,7.387267708668848520e+00,7.387267708668848520e+00
2.722414150955598870e+02,1.680705602878489344e+02,7.388568861340918836e+00,7.388568861340974792e+00
2.726648776170559358e+02,1.662397623239888844e+02,7.399143063650543084e+00,7.399143063650599039e+00
2.730888855199959835e+02,1.644090982911180845e+02,7.419684762502892106e+00,7.419684762502829933e+00
2.735115620241633678e+02,1.625782012661405815e+02,7.450138469148767761e+00,7.450138469148815723e+00
2.739340723148454799e+02,1.607473589213722676e+02,7.487657221228089632e+00,7.487657221228027460e+00
2.743597079383511073e+02,1.589172794228441035e+02,7.527549013572123471e+00,7.527549013572185643e+00
2.747916185949889041e+02,1.570886302871696785e+02,7.565015199705877436e+00,7.565015199705930726e+00
