s,x,y,psi,kappa,vx,ax
3.999172640330603912e+01,1.380515684982701998e+02,3.218590678275184587e+02,-1.894974916747211857e+00,-8.740425886929832980e-03,2.041721164034325042e+01,-7.148604541541499380e+00
4.199131272347133859e+01,1.399404592366549593e+02,3.212010611658697030e+02,-1.910418754045646317e+00,6.546257998933469567e-03,1.970467019433444023e+01,-2.422939995738533081e-01
4.399089904363664516e+01,1.418363091455299241e+02,3.205698051747682484e+02,-1.863559225758436133e+00,3.106522710565064876e-02,1.968006737624340730e+01,-2.418373153430167788e-01
4.599048536380194463e+01,1.437607582895012968e+02,3.200226606939696126e+02,-1.847375728960689578e+00,-1.495949137807650944e-02,1.965548022202839107e+01,4.974051151012817584e+00
4.799007168396724410e+01,1.456697364489969573e+02,3.194281264835767047e+02,-1.897930722359267186e+00,-1.791164417981495546e-02,2.015514802806679029e+01,3.668622165147612080e+00
4.998965800413255067e+01,1.475561747642639432e+02,3.187692418838146864e+02,-1.906824353757839985e+00,6.970964057889333584e-03,2.051588276004358136e+01,6.685348320605740469e+00
5.198924432429785014e+01,1.494478046279497505e+02,3.181189635436742265e+02,-1.899050576062469187e+00,7.886682808606307240e-04,2.115744094919562812e+01,6.604482587881269851e+00
5.398883064446314961e+01,1.513400631586093539e+02,3.174727302137417269e+02,-1.901244110095775541e+00,-9.281726639840874420e-04,2.177268411537021819e+01,6.526450479970663743e+00
5.598841696462845618e+01,1.532305430662910339e+02,3.168237409825319446e+02,-1.901036033033777439e+00,1.075813813367976820e-03,2.236403755554139394e+01,6.451002384579791915e+00
5.798800328479375565e+01,1.551233495242488232e+02,3.161768232394034612e+02,-1.899384903968090343e+00,5.741855078127788663e-04,2.293357468919280606e+01,6.377924501065215246e+00
5.998758960495905512e+01,1.570162030485131197e+02,3.155324070673964911e+02,-1.898484715250572386e+00,5.727827705748232212e-04,2.348308474607923202e+01,6.307031982147331739e+00
6.198717592512436170e+01,1.589091682762530127e+02,3.148904533054530361e+02,-1.896856312325341687e+00,1.057217302165035233e-03,2.401412457151484148e+01,6.238163681013375594e+00
6.398676224528966117e+01,1.608044731261507820e+02,3.142511039997015132e+02,-1.895775314570086634e+00,1.971748470475210522e-05,2.452805888070324869e+01,6.171178066645189197e+00
6.598634856545496064e+01,1.626992270271315704e+02,3.136122818052110119e+02,-1.896026494601354973e+00,5.153110093461474046e-04,2.502609196294901395e+01,6.105950004368873252e+00
6.798593488562026721e+01,1.645942110315374407e+02,3.129758530348195791e+02,-1.892888942146333076e+00,2.626508492210940029e-03,2.550929295646352912e+01,6.042368187391959466e+00
6.998552120578557378e+01,1.664927238963916238e+02,3.123464482426987274e+02,-1.889673363356358271e+00,5.177837086624287192e-04,2.597861621943135546e+01,5.980333065134063375e+00
7.198510752595086615e+01,1.683913764780167810e+02,3.117194426448619424e+02,-1.890032375704113310e+00,-1.989871605761391071e-05,2.643491791268984414e+01,5.919755155574365268e+00
7.398469384611617272e+01,1.702897472684796298e+02,3.110927854117149423e+02,-1.888824104750637112e+00,1.229939527322929885e-03,2.687896962136531442e+01,5.860553657922054960e+00
7.598428016628147930e+01,1.721902498807195343e+02,3.104697116237962291e+02,-1.886410745125563837e+00,1.156603383894953775e-03,2.731146963735622180e+01,5.802655302669244897e+00
7.798386648644677166e+01,1.740916795372479555e+02,3.098511644964808625e+02,-1.884306127175699785e+00,8.332578150230460223e-04,2.773305237581926974e+01,5.745993391118076943e+00
