s,x,y,psi,kappa,vx,ax
6.396007129173803207e+01,1.680311166450718190e+02,3.255570432470394167e+02,-1.921721217266918247e+00,-2.678615894405047930e-03,3.843141965885237710e+01,-5.485388573536182477e+00
6.595882351960484868e+01,1.699057311572157971e+02,3.248648045683499390e+02,-1.927482535578399991e+00,-3.086800178204751090e-03,3.814506720050029998e+01,-5.081195108154274109e+00
6.795757574747166530e+01,1.717765301435047434e+02,3.241608309337845526e+02,-1.934057022371823864e+00,-3.490986054598677318e-03,3.787788341031458828e+01,-4.688747279843313187e+00
6.995632797533846770e+01,1.736424356414802617e+02,3.234437965408645823e+02,-1.941436145173098815e+00,-3.891062304679648517e-03,3.762965271567627212e+01,-4.305682020793577536e+00
7.195508020320528431e+01,1.755019727698193321e+02,3.227125642302509050e+02,-1.949607989895772109e+00,-4.287789281506648904e-03,3.740025107454906106e+01,-3.931748403874478548e+00
7.395383243107210092e+01,1.773559088916414908e+02,3.219651304436632131e+02,-1.958571155319604351e+00,-4.680126290708557651e-03,3.718953614494265736e+01,-3.564996714516105225e+00
7.595258465893891753e+01,1.792028641954929356e+02,3.212003481148104242e+02,-1.968316515982723836e+00,-5.068559044498379199e-03,3.699743921442458827e+01,-3.203337384519211017e+00
7.795133688680571993e+01,1.810409574881780372e+02,3.204173321120703690e+02,-1.978828504553435952e+00,-5.453739441740171334e-03,3.682397524653210041e+01,-2.847406667258677082e+00
7.995008911467253654e+01,1.828714351794710922e+02,3.196138809896130510e+02,-1.990110274110770350e+00,-5.833885581299440466e-03,3.666909641806785203e+01,-2.493401697864758848e+00
8.194884134253935315e+01,1.846924353792404929e+02,3.187891308603780089e+02,-2.002151458750494939e+00,-6.211255218358718855e-03,3.653293374094678825e+01,-2.141770800253978368e+00
8.394759357040616976e+01,1.865018206247922592e+02,3.179424217541418329e+02,-2.014933229113969215e+00,-6.584239021797342120e-03,3.641556685544291838e+01,-1.796842571912057318e+00
8.594634579827298637e+01,1.883013323334197366e+02,3.170712929377149294e+02,-2.028460650083581562e+00,-6.947677636732182797e-03,3.631680910013657382e+01,-1.448931536208649007e+00
8.794509802613978877e+01,1.900882645257032095e+02,3.161754092601499337e+02,-2.042711230989354032e+00,-7.309368793636635692e-03,3.623697714964254146e+01,-1.059254395354897182e+00
8.994385025400660538e+01,1.918606147672298619e+02,3.152541856644582481e+02,-2.057699353828426059e+00,-7.703811368234488553e-03,3.617850382172442636e+01,-8.191940103188024569e-01
9.194260248187342199e+01,1.936205050672743653e+02,3.143047573370978967e+02,-2.073456971941633142e+00,-7.952401214396559101e-03,3.613321750235051155e+01,-8.128177485212573217e-01
9.394135470974023860e+01,1.953641251185748047e+02,3.133281932117145629e+02,-2.089174080195983940e+00,-7.778920280883640931e-03,3.608822750566666571e+01,-6.038388071000075907e-01
9.594010693760705522e+01,1.970926270913944052e+02,3.123245175866286445e+02,-2.104481803561566000e+00,-7.509340689069182555e-03,3.605476828630062158e+01,-3.014362758678088006e-01
9.793885916547385762e+01,1.988071072073138907e+02,3.112942364258880730e+02,-2.119227901187184404e+00,-7.248530380044207466e-03,3.603805382263209367e+01,-1.844391859998127312e-02
9.993761139334067423e+01,2.005053946033794432e+02,3.102398473481461565e+02,-2.133530381070821047e+00,-7.069675471804108893e-03,3.603703086654258669e+01,1.697075219612820818e-01
1.019363636212074908e+02,2.021895764658210339e+02,3.091609272879374544e+02,-2.147510703362319084e+00,-6.901644967683215857e-03,3.604644226898619763e+01,3.409534232656736830e-01
1.039351158490743074e+02,2.038564530133011772e+02,3.080603554504359636e+02,-2.161140659058152558e+00,-6.751351610838164825e-03,3.606534296357178704e+01,4.887991343144032497e-01
1.059338680769411098e+02,2.055116461819700362e+02,3.069351433059770784e+02,-2.174489059843480288e+00,-6.594023180250280051e-03,3.609242219354968029e+01,6.401557340400126916e-01
1.079326203048079265e+02,2.071505217275428095e+02,3.057891168886807236e+02,-2.187528808917381440e+00,-6.429768528949267835e-03,3.612785580679575759e+01,7.950611784548737848e-01
1.099313725326747431e+02,2.087705616698376332e+02,3.046249975338927243e+02,-2.200170735980435222e+00,-6.248459293448206317e-03,3.617181535118302804e+01,9.643932311993610451e-01
1.119301247605415597e+02,2.103831272594846382e+02,3.034354303134802535e+02,-2.212508830556906503e+00,-6.068853593647854754e-03,3.622506579757832412e+01,1.128285992533176962e+00
1.139288769884083763e+02,2.119772434619212618e+02,3.022293121410631898e+02,-2.224427774481419817e+00,-5.802747364949135608e-03,3.628726664163852433e+01,1.380901849462377484e+00
1.159276292162751787e+02,2.135526623487095605e+02,3.010084267668252096e+02,-2.235601951625473927e+00,-5.405062508526490422e-03,3.636324905199656143e+01,-1.128586544905073374e+00
1.179263814441419953e+02,2.151231023198239143e+02,2.997637575952318798e+02,-2.246332131401469034e+00,-5.299130657781437811e-03,3.630116185297089970e+01,-3.556786491833911601e+00
1.199251336720088119e+02,2.166764219568237024e+02,2.985055736584329225e+02,-2.256891246955104791e+00,-5.343406339500662156e-03,3.610479306167520974e+01,-3.454286533819465266e+00
1.219238858998756285e+02,2.182132979838463882e+02,2.972332809338595325e+02,-2.267744661910984227e+00,-5.528701797354835384e-03,3.591305551211239333e+01,-3.404972140783764534e+00
1.239226381277424309e+02,2.197402531356654549e+02,2.959405618242209925e+02,-2.278919072305685578e+00,-5.643239346280264426e-03,3.572304809099630063e+01,-3.384346230496145580e+00
1.259213903556092475e+02,2.212524580453570877e+02,2.946307472627923971e+02,-2.290306945593031607e+00,-5.731767450502299986e-03,3.553318485269060290e+01,-3.384344784093978653e+00
1.279201425834760641e+02,2.227468653896534363e+02,2.933060857584703172e+02,-2.301823569588241636e+00,-5.801804399463625188e-03,3.534230174198231822e+01,-3.384166050218822885e+00
1.299188948113428808e+02,2.242246178681149900e+02,2.919653119776574499e+02,-2.313463068825157620e+00,-5.862066474184528427e-03,3.515039222479080649e+01,-3.395830279391628626e+00
1.319176470392096974e+02,2.256912060029822271e+02,2.906029823142215491e+02,-2.325274366314966645e+00,-5.933436454998267627e-03,3.495676224829540502e+01,-3.342841182654052723e+00
1.339163992670765140e+02,2.271394165793346644e+02,2.892253303000792926e+02,-2.337233510420495541e+00,-6.063893313688248007e-03,3.476510037899188177e+01,-3.177678808824744294e+00
1.359151514949433306e+02,2.285690070506360030e+02,2.878320123296264228e+02,-2.349532732170283023e+00,-6.306958359508765301e-03,3.458192330053685737e+01,-2.968999369025146606e+00
1.379139037228101188e+02,2.299819907906845060e+02,2.864197339287534874e+02,-2.362453104931377279e+00,-6.595370718500888699e-03,3.440989437585454169e+01,-1.241098394180709663e+00
1.399126559506769354e+02,2.313743793733192149e+02,2.849893563984961702e+02,-2.377471158621336400e+00,-8.433987114174234731e-03,3.433772756891062272e+01,-7.376198572140876264e-01
