s,x,y,psi,kappa,vx,ax
1.220478376453477978e+02,2.172500287844146953e+02,2.969359739824735698e+02,-2.183422652620523152e+00,-8.848555022843450357e-03,3.215285655933318054e+01,-3.031027856563870415e+00
1.240535801970173537e+02,2.188946605085630779e+02,2.957878495660871749e+02,-2.204669464518729249e+00,-9.143411205662605595e-03,3.211620089759222907e+01,-2.941124824097068213e+00
1.260606955908735642e+02,2.205116363866566473e+02,2.945987737846846244e+02,-2.225877816854604951e+00,-9.342488673838349189e-03,3.207810119716376107e+01,-2.720876124895296400e+00
1.280665061534970164e+02,2.220985238534584028e+02,2.933719632121677137e+02,-2.247264080690488441e+00,-9.822383022563370078e-03,3.204791810872536217e+01,-2.582670274764414131e+00
1.300886510545743988e+02,2.236732936858394396e+02,2.921034325755744021e+02,-2.269991993309949496e+00,-9.352728337841918760e-03,3.211498372070000329e+01,-2.741296620527995387e+00
1.320956073977174867e+02,2.252003796821888386e+02,2.908011721857000111e+02,-2.288721785205727777e+00,-8.502096553584560790e-03,3.203762573669365565e+01,-2.713008807446557924e+00
1.340990054350505716e+02,2.266993937305058466e+02,2.894720519582795077e+02,-2.306734190440972831e+00,-9.156937934815994121e-03,3.194489862087264953e+01,-2.514440577240237840e+00
1.360991782430588728e+02,2.281699505847338685e+02,2.881162666506519372e+02,-2.325985435993614736e+00,-9.651803553699177252e-03,3.184941827755470811e+01,-2.170210993782238251e+00
1.380989508863813171e+02,2.296131438983324244e+02,2.867319676639567660e+02,-2.345083652085603987e+00,-9.328117760116697368e-03,3.176293503383705996e+01,-6.367114396502633333e-01
1.400958716439737941e+02,2.310271181192447330e+02,2.853218721300658558e+02,-2.365106041875078891e+00,-1.073507036370112237e-02,3.175985106584083795e+01,-2.757151032325469986e-01
1.420870188925563582e+02,2.324066412844420313e+02,2.838860506919260160e+02,-2.387264221812816167e+00,-1.124950907362804939e-02,3.174160191279485588e+01,-3.245532183518502478e-01
1.440784501380541940e+02,2.337539747214914314e+02,2.824195954369135393e+02,-2.409631432138817697e+00,-1.117549659969998416e-02,3.170419119042191269e+01,-2.264527040452795903e-01
1.460685777809013075e+02,2.350675151543633206e+02,2.809245303660771924e+02,-2.431615145988942572e+00,-1.088378549128717586e-02,3.165895363497159920e+01,6.247408154667813407e-02
1.480504777547349704e+02,2.363427961970065780e+02,2.794074325549402147e+02,-2.453042011563867142e+00,-1.056473458040526475e-02,3.161795650086223120e+01,3.677558149077148064e-01
1.500323843618438104e+02,2.375851762471881727e+02,2.778632675345448888e+02,-2.473973358125989286e+00,-1.021671208730556488e-02,3.158260490569691825e+01,4.637977223889596101e-01
1.519964386296068710e+02,2.387812271603137333e+02,2.763053935409466249e+02,-2.494917344711945262e+00,-9.956845492948337289e-03,3.145013594151101444e+01,2.987949711425876287e-01
1.539702260651632457e+02,2.399511280174208139e+02,2.747156863901479937e+02,-2.515098071795766721e+00,-9.639384474992560015e-03,3.136103043799732859e+01,2.887074321669775845e-01
1.559401051665439866e+02,2.410846743391725511e+02,2.731046319495719672e+02,-2.534889146914243163e+00,-9.314708261152883709e-03,3.125040118229496144e+01,4.969326862004915801e-01
1.579097036739068756e+02,2.421834382930553033e+02,2.714699955821023991e+02,-2.554533311965377251e+00,-9.222132040318541113e-03,3.113475568729431586e+01,-1.257508619046186382e+00
1.598756484125801194e+02,2.432437657354856242e+02,2.698145064005170184e+02,-2.575084020557782516e+00,-9.842708608645039242e-03,3.091008774309623419e+01,-2.606712397749692656e+00
1.618330245198841340e+02,2.442585713204683202e+02,2.681407409300485369e+02,-2.598228542299279020e+00,-1.122655972782060814e-02,3.060744066402816088e+01,-2.305996094139520558e+00
1.637900464364065272e+02,2.452257719234348485e+02,2.664394303248473079e+02,-2.623920892565211549e+00,-1.144677317358229300e-02,3.031427533159294896e+01,-1.976506154255520453e+00
1.657100658770562234e+02,2.460853870807337671e+02,2.647225912427505818e+02,-2.653162440083312035e+00,-1.101451201733997728e-02,2.986307135614120511e+01,-1.345833842324615670e+00
1.676527369145496493e+02,2.469312585850375115e+02,2.629737424333554827e+02,-2.678545367814513689e+00,-1.027543293524914997e-02,2.961975716822498228e+01,-7.515820722710673252e-01
1.695958318067908124e+02,2.477227920945608162e+02,2.611991741862724439e+02,-2.702494645756721603e+00,-8.991805360036485284e-03,2.942079952083188132e+01,5.741298558962015797e-02
1.715362769204500637e+02,2.484599767736417277e+02,2.594042129086810746e+02,-2.724002781199417189e+00,-7.617046072596831904e-03,2.928705391122420210e+01,8.578499064184579304e-01
1.734757316734097685e+02,2.491466371264941131e+02,2.575903820735151726e+02,-2.743299616991112799e+00,-6.493712437357394666e-03,2.921841408564369402e+01,1.365153542631867278e+00
1.754163988266123226e+02,2.497867053053419681e+02,2.557583062765172315e+02,-2.760569873549064024e+00,-5.600849041203819628e-03,2.919004177216288909e+01,1.631476645057443164e+00
1.773598109970981511e+02,2.503837033059045325e+02,2.539088619676188046e+02,-2.776428487281005886e+00,-5.211889132000848551e-03,2.918237686629461436e+01,1.961450898700334067e+00
1.793065707956403969e+02,2.509401452711275056e+02,2.520433202091585372e+02,-2.792004897068150360e+00,-5.322052510126082728e-03,2.920037357266683031e+01,2.336333228068952383e+00
1.812542577019115413e+02,2.514557776453881957e+02,2.501651275833945078e+02,-2.807457612414061998e+00,-5.302766614230943441e-03,2.924747754995632931e+01,2.673061222087525834e+00
1.832096928234563222e+02,2.519348179080209889e+02,2.482692776575439666e+02,-2.822401421358386120e+00,-5.090319069773012288e-03,2.932183464468596412e+01,2.781211672614711805e+00
1.851678826734464565e+02,2.523777469555000721e+02,2.463618392319313273e+02,-2.836360176873747641e+00,-4.655144765456913948e-03,2.940987612578965127e+01,2.909500963782013283e+00
1.871294160514718783e+02,2.527876574243151708e+02,2.444436143752829764e+02,-2.849086955198836701e+00,-4.377833421113662415e-03,2.951256640235726891e+01,3.225807740460277628e+00
1.890962415366369100e+02,2.531678456794207364e+02,2.425138839848464158e+02,-2.860900001395310532e+00,-4.005676857876581953e-03,2.964061260411653365e+01,3.519241310917363919e+00
1.910657680110127501e+02,2.535200213588359475e+02,2.405760999865391341e+02,-2.871412776432459069e+00,-3.490398074456646602e-03,2.979182401382839629e+01,3.787406010169227955e+00
1.930381059369472041e+02,2.538473826091558294e+02,2.386311188797238572e+02,-2.880644366104554432e+00,-3.062378112986101093e-03,2.996385094863308041e+01,4.037278732005331605e+00
1.950138099615832346e+02,2.541536996396830261e+02,2.366793052949335561e+02,-2.888768221814358217e+00,-2.689365186868904016e-03,3.015503801852852916e+01,4.269694715847959898e+00
1.969913906910701371e+02,2.544424552324228443e+02,2.347229194052636672e+02,-2.895871452097850796e+00,-2.327903553627934385e-03,3.036393400937142673e+01,4.479947055338716844e+00
1.989707342919333541e+02,2.547175768305580732e+02,2.327627895124969370e+02,-2.901876319934639348e+00,-1.866817968397464647e-03,3.058869612710420682e+01,4.668548914636893699e+00
2.009516123003455448e+02,2.549832969607699908e+02,2.307998146026696986e+02,-2.906705350102373409e+00,-1.449120900257544215e-03,3.082747456187164659e+01,4.835939886889513595e+00
2.029467872542449243e+02,2.550503657080026869e+02,2.288057672411930525e+02,-2.911681205360822311e+00,-9.982075505077859286e-04,3.101765393759654543e+01,5.011589472820934255e+00
2.049288849968424699e+02,2.553132361619627204e+02,2.268411780765977710e+02,-2.914314345039653809e+00,-5.966655046419400187e-04,3.128317213681872389e+01,5.126327476323530696e+00
2.069111296697122668e+02,2.555768650941909073e+02,2.248765423013933855e+02,-2.915966546161901540e+00,-2.187404420794983166e-04,3.155596058357137323e+01,5.221053039892785463e+00
2.088932967060859482e+02,2.558434687375770977e+02,2.229123863357380060e+02,-2.916700791745364896e+00,1.833081591975595139e-04,3.183405386847096707e+01,5.182313838493210589e+00
2.108752396680593222e+02,2.561153162889039550e+02,2.209491754929212277e+02,-2.916317515490509216e+00,7.540043748606839024e-04,3.210955514739860917e+01,5.143836637798701261e+00
2.128565620577351467e+02,2.563953866724635873e+02,2.189877476986643217e+02,-2.914859564244152601e+00,9.816776569231220467e-04,3.238262832666809743e+01,5.105600947568291303e+00
2.148373277031669772e+02,2.566851781819667053e+02,2.170282953713180234e+02,-2.913504894590102534e+00,6.933766655779103824e-04,3.265336229488371345e+01,5.067596694856050021e+00
2.168176816168762002e+02,2.569841325617221059e+02,2.150706365904349866e+02,-2.912625795514841798e+00,4.628557725423262524e-04,3.292179502891625731e+01,5.029820933081261103e+00
2.187975510760678333e+02,2.572915324641867869e+02,2.131147765812818591e+02,-2.912145212931652516e+00,2.279711397919075044e-04,3.318796392178800403e+01,4.992270749210571346e+00
2.207771861024638440e+02,2.576067320445906716e+02,2.111603958450262155e+02,-2.912059410188238218e+00,3.242041525859555367e-05,3.345190571847106042e+01,4.954943271485713119e+00
2.227567244566242550e+02,2.579291911294241118e+02,2.092072977332559844e+02,-2.912181357838957041e+00,1.897235190695492510e-05,3.371365646760495594e+01,4.917835675446257326e+00
2.247360429183101473e+02,2.582588476802251876e+02,2.072556245712525254e+02,-2.912250857528133619e+00,2.604094756990013690e-05,3.397325148626611480e+01,4.880945188548501790e+00
2.267153198916993233e+02,2.585958526604922554e+02,2.053052489713580258e+02,-2.912318145736044972e+00,1.138651764480408859e-05,3.423072533543148666e+01,4.844269093625597655e+00
2.286946582876888669e+02,2.589402583676059066e+02,2.033561042371871679e+02,-2.912383814552113037e+00,1.492310118513657291e-05,3.448611180419392497e+01,4.807804731392907982e+00
2.306739148089970683e+02,2.592920937934154040e+02,2.014083701151144226e+02,-2.912431814076894554e+00,8.768396611195338790e-06,3.473944390112551162e+01,4.771549502166914536e+00
2.326533114189334697e+02,2.596514321470950790e+02,1.994618637865856670e+02,-2.912506857450676723e+00,-1.796615453691742591e-05,3.499075385146286976e+01,4.735500866938590292e+00
2.346305818222464552e+02,2.599417926888763191e+02,1.975060291812077082e+02,-2.912690561560179248e+00,-5.398624170534042243e-05,3.522323447162446541e+01,4.702104985659682157e+00
2.366107119624210497e+02,2.603234619517923534e+02,1.955630304818326977e+02,-2.912859265341756210e+00,-4.090310905589170895e-05,3.547248676545308399e+01,4.666191524321513739e+00
2.385911659121360628e+02,2.607125671092864536e+02,1.936211769798008788e+02,-2.912881605339975533e+00,5.939727369868006725e-05,3.571974272231560121e+01,4.630485838777828711e+00
2.405719937805325515e+02,2.611093305538415734e+02,1.916804920972707578e+02,-2.912691327116544660e+00,1.676033927751070362e-04,3.596499511142959449e+01,4.594991044666105751e+00
2.425531941024190701e+02,2.615141934721241910e+02,1.897411002511388460e+02,-2.912279242897645393e+00,2.719564557270029654e-04,3.620827641785535889e+01,4.559704425411199580e+00
2.445348532585441887e+02,2.619276041157172017e+02,1.878030433245191659e+02,-2.911662752523854980e+00,3.708006816548936233e-04,3.644961818135730169e+01,4.524623346936912149e+00
2.465170454816394852e+02,2.623500015352146875e+02,1.858663795877539826e+02,-2.910809458499286073e+00,5.132264143033572279e-04,3.668905102744523816e+01,4.489745254964041976e+00
2.484997896608354040e+02,2.627819438805890968e+02,1.839312567775923810e+02,-2.909629003796599722e+00,7.171163052694704649e-04,3.692660469791195510e+01,4.455067672334697804e+00
2.504831799483285124e+02,2.632242420236503904e+02,1.819978118248806425e+02,-2.907965811284073165e+00,9.564625503506089896e-04,3.716230808075732028e+01,4.420588196375671686e+00
2.524672138206453553e+02,2.636766587561108395e+02,1.800660485094896615e+02,-2.906448698089912686e+00,4.553269876166223104e-04,3.739602272004506744e+01,4.386329151274284577e+00
2.544517753861341873e+02,2.641361278826971670e+02,1.781354080124189352e+02,-2.906150380765857300e+00,-1.195425475744250134e-04,3.762749648290754578e+01,4.352329857004876068e+00
2.564367561821766799e+02,2.645990129273172329e+02,1.762051525381035333e+02,-2.906833688682511685e+00,-5.704193446371551464e-04,3.785649498628846743e+01,4.318627246761970184e+00
2.584220028252248085e+02,2.650621269757026539e+02,1.742746786035677644e+02,-2.908205412571066351e+00,-7.772154861097684778e-04,3.808278473313690426e+01,4.285258344632482341e+00
2.604073278082540810e+02,2.655230212718730627e+02,1.723435929669380187e+02,-2.909920080742756099e+00,-9.756106918801274279e-04,3.830614355645078462e+01,4.252258698752490851e+00
2.623926293032414492e+02,2.659799199456981000e+02,1.704115821937134001e+02,-2.912112875923081656e+00,-1.238078993345754922e-03,3.852645760715991230e+01,4.219647869546027330e+00
2.643778969457887342e+02,2.664318089747547447e+02,1.684784283152123976e+02,-2.914870188183423139e+00,-1.554833831325600196e-03,3.874379929884550222e+01,4.187417619532814328e+00
2.663632678943588985e+02,2.668787505218654132e+02,1.665440185714164727e+02,-2.918328321516221902e+00,-2.042818106554928573e-03,3.895846018190701443e+01,4.039600476622681846e+00
2.683510252166457803e+02,2.673392452324681585e+02,1.646103371618218318e+02,-2.923099896323327673e+00,-2.813286560680852786e-03,3.916740589533424099e+01,3.461130978410854375e+00
2.703385412691081910e+02,2.677884754752599292e+02,1.626742554879875229e+02,-2.928638278843029408e+00,-2.696122389495352219e-03,3.934441199038943893e+01,3.513408016039740289e+00
2.723269240883595899e+02,2.682355043944465365e+02,1.607367748090374278e+02,-2.933346314166060065e+00,-1.629506924953427185e-03,3.952201272251701880e+01,-5.083179064502581390e+00
2.743161335184097425e+02,2.686849611128625384e+02,1.587990073268891820e+02,-2.933985066261420638e+00,8.436689978526218207e-04,3.926612459213486517e+01,-4.486805690762390775e+00
2.763065504986815881e+02,2.691472216145336915e+02,1.568630127545958715e+02,-2.929393207831807011e+00,3.654799446885561784e-03,3.903799003169365989e+01,-3.318672532129577135e+00
2.782984542042854628e+02,2.696328522140310611e+02,1.549312148114273100e+02,-2.919807268775623577e+00,4.701916771010761741e-03,3.886666859290426856e+01,-3.268754041642251362e+00
2.802924772242398603e+02,2.701450719769551370e+02,1.530041033152812986e+02,-2.912416095999259102e+00,2.605580840060088901e-03,3.869510459584316919e+01,-5.904019612609490153e+00
2.822881622686626883e+02,2.706760241960899975e+02,1.510803443549308440e+02,-2.909967581367747691e+00,-3.180772167897019643e-04,3.838525116513873314e+01,-5.931445537585776862e+00
2.842856238515537370e+02,2.712150738098702618e+02,1.491569935577518891e+02,-2.913194469967652189e+00,-2.536060403380089017e-03,3.806958420986189395e+01,-5.200162951786171384e+00
2.862843198431255587e+02,2.717541812895444764e+02,1.472323770265736300e+02,-2.918852940994483891e+00,-3.321179602512753289e-03,3.778713491533889623e+01,-5.151979832448069452e+00
2.882838854014528351e+02,2.722917486493975048e+02,1.453064269348865878e+02,-2.923267633756112538e+00,-1.026963631058937622e-03,3.750211397383215228e+01,-7.571669443845026493e+00
2.902852007494792019e+02,2.728356090402164114e+02,1.433804261567080971e+02,-2.922404390241035266e+00,1.078782730454577385e-03,3.708390499945291907e+01,-7.200984684496057220e+00
2.922885951726306644e+02,2.733935818074648409e+02,1.414563015230828285e+02,-2.919190938090390652e+00,1.778487244121564797e-03,3.667850866100923213e+01,-7.163188111008301995e+00
2.942941214849142852e+02,2.739675557059178459e+02,1.395346642646085229e+02,-2.916710959167610362e+00,1.089524984807001815e-04,3.626787148836935160e+01,-7.498617598545906482e+00
2.963018924274171013e+02,2.745523071804917663e+02,1.376139326668723015e+02,-2.918058719033561843e+00,-1.406279674211959561e-03,3.583121108353096673e+01,-7.425899679007446075e+00
2.983114283800798603e+02,2.751425685815443671e+02,1.356930406283985917e+02,-2.920789419529483233e+00,-1.711024597589240253e-03,3.539003364961642717e+01,-7.436441887126965966e+00
3.003225842672792396e+02,2.757385556466567209e+02,1.337722211624322028e+02,-2.921811877542607405e+00,5.075089985821494174e-04,3.493910995530949037e+01,-6.430124062047614331e+00
3.023809183506139675e+02,2.765311017466557928e+02,1.318725870192368177e+02,-2.917259651148759403e+00,2.668991778455726428e-03,3.449789872236694066e+01,-5.657885487131240509e+00
3.044005257417559847e+02,2.771725030121102691e+02,1.299575365157176634e+02,-2.910445786807277280e+00,3.675854429929058600e-03,3.412356263924004196e+01,-5.600754412932675841e+00
3.064239915054019434e+02,2.778378358973428703e+02,1.280465823434583115e+02,-2.904223570292584267e+00,1.876295151220186376e-03,3.374044535496091868e+01,-7.478318315893245583e+00
3.084512258253427603e+02,2.785210150206694379e+02,1.261379322253390853e+02,-2.902640429266772681e+00,-3.266238032140833590e-04,3.323733762642175549e+01,-7.617998532759093777e+00
3.104812206746361198e+02,2.792139241276177586e+02,1.242298556918463248e+02,-2.904482612526743335e+00,-1.806148798102586231e-03,3.271391417328207751e+01,-7.461236802497792198e+00
3.125132655911092456e+02,2.799114557454859664e+02,1.223212813064375410e+02,-2.908012000994437241e+00,-1.868179241221881422e-03,3.218838797682437303e+01,-7.634536891469612563e+00
3.145477538315606694e+02,2.806130239464439455e+02,1.204115838277934216e+02,-2.911149882990790250e+00,-1.650713067687712039e-03,3.164278034795579231e+01,-7.968895383526321652e+00
3.165845081778064696e+02,2.813191258041138099e+02,1.185011418806130337e+02,-2.914175340797005020e+00,-1.656677242682715132e-03,3.106862862154935101e+01,-8.107076524960382002e+00
3.186234334879025596e+02,2.820294554073645941e+02,1.165899516036139119e+02,-2.917513703720722162e+00,-1.768798424263740270e-03,3.047908325506859484e+01,-7.754123792461310671e+00
3.206645971697352593e+02,2.827427133049857275e+02,1.146774630814224736e+02,-2.921514927652267168e+00,-2.159826697370869925e-03,2.990642200742791346e+01,-7.427926948990590361e+00
